City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ewa Beach,US,2022-04-21 16:49:34,21.3156,-158.0072,71.6,79,0,9.22
68,Kapaa,US,2022-04-21 16:52:49,22.0752,-159.319,71.92,93,75,14.97
69,Hermanus,ZA,2022-04-21 16:52:49,-34.4187,19.2345,64.8,87,2,3.51
70,Ostrovnoy,RU,2022-04-21 16:52:50,68.0531,39.5131,34.5,97,100,12.71
71,Helena,US,2022-04-21 16:50:26,46.5927,-112.0361,46.17,53,100,4.0
72,Provideniya,RU,2022-04-21 16:52:50,64.3833,-173.3,21.88,88,35,11.88
73,Pakala,IN,2022-04-21 16:52:51,13.4667,79.1167,84.61,74,26,8.1
74,Severo-Kurilsk,RU,2022-04-21 16:52:51,50.6789,156.125,35.38,93,77,12.01
75,Port Elizabeth,ZA,2022-04-21 16:48:09,-33.918,25.5701,69.31,79,0,10.36
76,Macapa,BR,2022-04-21 16:51:27,0.0389,-51.0664,85.98,74,75,6.91
77,Padang,ID,2022-04-21 16:49:43,-0.9492,100.3543,78.33,84,95,3.24
78,Nikolskoye,RU,2022-04-21 16:52:53,59.7035,30.7861,51.69,72,5,5.28
79,Ponta Do Sol,PT,2022-04-21 16:52:53,32.6667,-17.1,65.71,84,72,9.89
80,Tiksi,RU,2022-04-21 16:52:54,71.6872,128.8694,7.14,98,100,5.77
81,Awbari,LY,2022-04-21 16:52:54,26.5921,12.7805,96.8,6,61,14.38
82,Araouane,ML,2022-04-21 16:52:54,18.9048,-3.5265,99.32,9,19,15.5
83,Saint-Pierre,RE,2022-04-21 16:52:55,-21.3393,55.4781,78.48,85,0,19.57
84,Ninghai,CN,2022-04-21 16:52:55,29.2892,121.4247,57.4,97,92,2.17
85,Severobaykalsk,RU,2022-04-21 16:52:56,55.65,109.3167,12.07,80,18,6.29
86,Luanda,AO,2022-04-21 16:49:48,-8.8368,13.2343,80.6,83,20,11.5
87,Narsaq,GL,2022-04-21 16:52:56,60.9167,-46.05,34.59,90,100,11.65
88,Nantucket,US,2022-04-21 16:50:22,41.2835,-70.0995,55.54,71,0,17.27
89,Port Alfred,ZA,2022-04-21 16:52:57,-33.5906,26.891,71.19,62,72,1.99
90,Tuatapere,NZ,2022-04-21 16:52:57,-46.1333,167.6833,47.91,89,100,13.38
